1/31/2014 16:46:34	Nick Rimando (GK), Nat Borchers (D), Chris Schuler (D), Tony Beltran (D), Kyle Beckerman (M), Cole Grossman (M), Luis Gil (M), Sebastian Velasquez (M), Alvaro Saborio (F), Robbie Findley (F), Olmes Garcia (F)
2/1/2014 8:28:38	Nick Rimando (GK), Chris Schuler (D), Carlos Salcedo (D), Tony Beltran (D), Kyle Beckerman (M), Ned Grabavoy (M), Luis Gil (M), Sebastian Velasquez (M), Javier Morales (M), Alvaro Saborio (F), Olmes Garcia (F)
2/1/2014 9:24:21	Nick Rimando (GK), Chris Schuler (D), Carlos Salcedo (D), Tony Beltran (D), Kyle Beckerman (M), Luis Gil (M), Sebastian Velasquez (M), Javier Morales (M), Robbie Findley (F), Olmes Garcia (F), Devon Sandoval (F)
2/4/2014 11:30:24	Nick Rimando (GK), Nat Borchers (D), Chris Schuler (D), Tony Beltran (D), Chris Wingert (D), Kyle Beckerman (M), Ned Grabavoy (M), Luis Gil (M), Javier Morales (M), Olmes Garcia (F), Devon Sandoval (F)
2/4/2014 10:26:12	Nick Rimando (GK), Jeff Attinella (GK), Nat Borchers (D), Chris Schuler (D), Aaron Maund (D), Tony Beltran (D), Ned Grabavoy (M), Luis Gil (M), Sebastian Velasquez (M), Joao Plata (F), Devon Sandoval (F)
2/4/2014 10:35:44	Nick Rimando (GK), Chris Schuler (D), Tony Beltran (D), Kyle Beckerman (M), Luis Gil (M), Sebastian Velasquez (M), Javier Morales (M), Alvaro Saborio (F), Olmes Garcia (F), Joao Plata (F), Devon Sandoval (F)
2/4/2014 11:48:07	Nick Rimando (GK), Chris Schuler (D), Carlos Salcedo (D), Tony Beltran (D), Kyle Beckerman (M), Luis Gil (M), Sebastian Velasquez (M), Javier Morales (M), Alvaro Saborio (F), Olmes Garcia (F), Devon Sandoval (F)
2/4/2014 15:18:40	Nick Rimando (GK), Chris Schuler (D), Carlos Salcedo (D), Tony Beltran (D), Kyle Beckerman (M), Luis Gil (M), Sebastian Velasquez (M), Javier Morales (M), Olmes Garcia (F), Joao Plata (F), Devon Sandoval (F)
2/4/2014 20:06:24	Nick Rimando (GK), Chris Schuler (D), Tony Beltran (D), Kyle Beckerman (M), Luis Gil (M), Sebastian Velasquez (M), Javier Morales (M), Alvaro Saborio (F), Robbie Findley (F), Olmes Garcia (F), Joao Plata (F)
2/14/2014 2:07:22	Nick Rimando (GK), Nat Borchers (D), Chris Schuler (D), Aaron Maund (D), Tony Beltran (D), Chris Wingert (D), Kyle Beckerman (M), Luis Gil (M), Sebastian Velasquez (M), Olmes Garcia (F), Joao Plata (F)
5/20/2014 9:25:13	Nick Rimando (GK), Nat Borchers (D), Chris Schuler (D), Tony Beltran (D), Chris Wingert (D), Kyle Beckerman (M), Luis Gil (M), Javier Morales (M), Alvaro Saborio (F), Olmes Garcia (F), Joao Plata (F)
